year,co2low,co2med,co2up,ch4low,ch4med,ch4up,n2olow,n2omed,n2oup
2084,0.69,2.26,5.00,19.08,26.51,47.03,0.32,0.95,1.58
2085,0.69,2.26,5.01,19.05,26.51,47.10,0.32,0.95,1.58
2086,0.69,2.26,5.01,19.01,26.50,47.19,0.32,0.94,1.58
2087,0.69,2.26,5.02,18.97,26.49,47.27,0.32,0.94,1.58
2088,0.69,2.26,5.03,18.93,26.49,47.35,0.32,0.94,1.59
2089,0.69,2.26,5.04,18.87,26.47,47.46,0.32,0.94,1.59
2090,0.68,2.26,5.06,18.82,26.46,47.58,0.32,0.94,1.60
2091,0.68,2.26,5.07,18.77,26.45,47.69,0.32,0.94,1.60
2092,0.68,2.26,5.08,18.71,26.43,47.79,0.32,0.94,1.60
2093,0.68,2.25,5.09,18.65,26.41,47.87,0.32,0.94,1.60
2094,0.68,2.25,5.09,18.58,26.39,47.92,0.32,0.94,1.61
2095,0.67,2.25,5.10,18.52,26.37,47.98,0.32,0.94,1.61
2096,0.67,2.25,5.11,18.46,26.34,48.06,0.31,0.94,1.61
2097,0.67,2.25,5.12,18.38,26.32,48.19,0.31,0.94,1.62
2098,0.67,2.24,5.13,18.32,26.29,48.30,0.31,0.94,1.62
2099,0.66,2.24,5.14,18.25,26.26,48.35,0.31,0.94,1.62
2100,0.66,2.24,5.14,18.17,26.23,48.37,0.31,0.94,1.62
