year,co2low,co2med,co2up,ch4low,ch4med,ch4up,n2olow,n2omed,n2oup
year,,,,,,,,,
2083,6.34,12.46,21.01,109.18,146.63,278.21,2.85,4.22,6.47
2084,6.33,12.46,21.04,108.94,146.64,278.72,2.85,4.22,6.48
2085,6.32,12.46,21.08,108.76,146.62,279.15,2.84,4.22,6.49
2086,6.31,12.46,21.12,108.55,146.60,279.66,2.84,4.22,6.51
2087,6.29,12.46,21.15,108.31,146.56,280.17,2.83,4.22,6.52
2088,6.28,12.45,21.19,108.05,146.51,280.64,2.82,4.22,6.53
2089,6.26,12.45,21.24,107.73,146.45,281.30,2.82,4.21,6.54
2090,6.24,12.44,21.29,107.44,146.38,281.98,2.81,4.21,6.56
2091,6.22,12.43,21.34,107.14,146.30,282.62,2.80,4.21,6.58
2092,6.21,12.43,21.39,106.81,146.21,283.24,2.79,4.21,6.59
2093,6.18,12.42,21.42,106.45,146.11,283.70,2.78,4.20,6.60
2094,6.16,12.41,21.44,106.09,145.99,283.99,2.77,4.20,6.61
2095,6.14,12.40,21.47,105.74,145.87,284.34,2.76,4.20,6.62
2096,6.12,12.39,21.51,105.37,145.73,284.84,2.75,4.19,6.63
2097,6.10,12.37,21.56,104.95,145.58,285.59,2.74,4.19,6.64
2098,6.07,12.36,21.62,104.56,145.43,286.28,2.73,4.18,6.66
2099,6.05,12.35,21.64,104.17,145.26,286.56,2.72,4.18,6.67
2100,6.03,12.33,21.65,103.71,145.08,286.70,2.71,4.17,6.67
